price_des,crawl_date,floorplan,car,indoor_feature,bed,property_type,other_feature,agent,property_id,rental_yield,bathroom,median_rent,post_code,street_address,title,outdoor_feature,suburb,url,agency,date_available,price,allowance,bond,description
$320 per week,"[datetime.date(2018, 9, 26)]",Not provided,[4],"Toilets:,1,Floorboards",[3],House,"Close to Schools, Close to Shops, Close to Transport, Garden",Jacqui Price,[418377798],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4073,33 Carlyle St,COSY LITTLE GEM IN SEVENTEEN MILE ROCKS,"Carport Spaces:,1,Garage Spaces:,1,Open Car Spaces:,2",Seventeen Mile Rocks,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-418377798,Ray White - Middle Park,Fri 05-Oct-18,$320 per week,Pet Friendly,"$1,280",This home is looking for a family to make it a home with some TLC. 
$490 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],Air Conditioning,[3],House,"Built-In Wardrobes, Close to Shops, Close to Transport, Garden, Formal Lounge",Jacqui Price,[423570362],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,2 Pampling Street,Quiet family area close to park,"Secure Parking,Garage Spaces:,2,Balcony",Seventeen Mile Rocks,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-423570362,Ray White - Middle Park,Tue 02-Oct-18,$490 per week,,"$1,960","• 3 Bedrooms - all with built-ins, ceiling fans and security screens"
From $395 to $420 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Intercom,Air Conditioning",[3],Townhouse,,Maureen Cutforth,[423975866],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,,"LOVELY THREE BEDROOM TOWNHOUSE, ENSUITE, A/CON & POOL","Garage Spaces:,1,Balcony,Swimming Pool - Inground",Seventeen Mile Rocks,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-423975866,THEONSITEMANAGER - Hendra,Thu 04-Oct-18,From $395 to $420 per week,,"$1,620",LOVELY TOWNHOUSE RENTAL PROPERTY 
$ 525 Per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Living Areas:,1,Toilets:,2,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",[3],House,,"Jonathan Najarro,Jaclyn Lazarou",[424628274],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,1 Skirmish Street,Welcome to Your Very Own Inner-City Resort,"Garage Spaces:,1",Seventeen Mile Rocks,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424628274,Place - Graceville,Mon 08-Oct-18,$ 525 Per week,,"$2,100",This beautiful Balinese inspired masterpiece is 5-star luxury. 
$395 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Built-in Wardrobes,Air Conditioning",[3],House,Area Views,Katelyn Champney,[424574186],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4073,25 Carlyle Street,Family Home in Quiet Street,"Carport Spaces:,1,Open Car Spaces:,1",Seventeen Mile Rocks,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424574186,SPACE Property Agents - SOUTH BRISBANE,Fri 05-Oct-18,$395 per week,,"$1,580","This high set home is in a peaceful, leafy location & is currently under going a mini make over. A coat of paint & new curtains will give this already wonderful home a fresh new look."
$375 p.w.,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Built-in Wardrobes,Dishwasher,Air Conditioning",[3],Townhouse,Property Type: Townhouse Garaging / carparking: Single lock-up,Jess Kindt,[424745930],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4075,6/10 Chapman Place,"Pool, Air-conditioning, Pet-Friendly...Absolutely Perfect!","Garage Spaces:,1,Fully Fenced",Oxley,https://www.realestate.com.au/property-townhouse-qld-oxley-424745930,Harcourts Marketplace - OXLEY,Available Now,$375 p.w.,Pet Friendly,"$1,500","Love Summer living in this immaculate townhouse located in the heart of Oxley - only minute walk to train station and local shopping hubs. Met with air-conditioning, inground complex swimming pool, ceiling fans and pet-friendly courtyard, this property is amazing value!"
Application Approved,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,3",[3],Townhouse,,Rentals Indooroopilly,[424205318],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4073,11/25 Hogan Place,Secure and Private,"Garage Spaces:,1",Seventeen Mile Rocks,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-424205318,Ray White Indooroopilly - INDOOROOPILLY,Available Now,Application Approved,,"$1,540","In a leafy peaceful, complex totally secure from the outside you'll be pleased to call this place home."
$370 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Toilets:,2,Air Conditioning",[2],Townhouse,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Jacqui Price,[424753782],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4074,14/32 Tomkins Rd,Modern Split levelled townhouse!,"Secure Parking,Garage Spaces:,1,Balcony",Riverhills,https://www.realestate.com.au/property-townhouse-qld-riverhills-424753782,Ray White - Middle Park,Thu 18-Oct-18,$370 per week,,"$1,480","Renovated 2 bedroom townhouse, located in a gated complex in Riverhills."
$390 per week,"[datetime.date(2018, 9, 26)]",Not provided,[2],"Toilets:,1,Floorboards,Air Conditioning",[3],House,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Jacqui Price,[421880154],"<span class=""rate""></span>",[1],"<span class=""price""></span>",4074,5 Port St,Recently Renovated and Picture Perfect!!!,"Secure Parking,Carport Spaces:,2",Jamboree Heights,https://www.realestate.com.au/property-house-qld-jamboree+heights-421880154,Ray White - Middle Park,Thu 11-Oct-18,$390 per week,Pet Friendly,"$1,560","Beautifully located in a quiet street, there's everything to love about this property! This house has a new kitchen, a fresh bathroom and new timber floors in all bedrooms.  Fresh paint and attention to all the little details makes this house stand out from the rest. "
$360 per week,"[datetime.date(2018, 9, 26)]",Not provided,[1],"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling",[3],Townhouse,0,Jack Byrnes,[424646150],"<span class=""rate""></span>",[2],"<span class=""price""></span>",4077,48/54 Farinazzo Street,Ask About 1 Week Rent Free!,"Remote Garage,Garage Spaces:,1,Outdoor Entertaining Area,Fully Fenced",Richlands,https://www.realestate.com.au/property-townhouse-qld-richlands-424646150,H & U Property Group - MARGATE,Available Now,$360 per week,Pet Friendly,"$1,440","This townhouse is situated in walking distance to Richlands Shopping Centre, there are numerous schools nearby and parks and fields. This complex is very quite with no passing by traffic as it is situated at the end of the street."
