car,bed,suburb,date_available,indoor_feature,title,bond,post_code,price_des,description,allowance,url,rental_yield,other_feature,property_id,price,outdoor_feature,property_type,crawl_date,floorplan,median_rent,street_address,bathroom,agent,agency
[4],[3],Seventeen Mile Rocks,Fri 05-Oct-18,"Toilets:,1,Floorboards",COSY LITTLE GEM IN SEVENTEEN MILE ROCKS,"$1,280",4073,$320 per week,This home is looking for a family to make it a home with some TLC. ,Pet Friendly,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-418377798,"<span class=""rate""></span>","Close to Schools, Close to Shops, Close to Transport, Garden",[418377798],320,"Carport Spaces:,1,Garage Spaces:,1,Open Car Spaces:,2",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",33 Carlyle St,[1],Jacqui Price,Ray White - Middle Park
[1],[3],Riverhills,Fri 05-Oct-18,"Toilets:,1,Air Conditioning",Comfortable Living - Ducted Air Conditioning throughout!,"$1,520",4074,$380 per week,"This private three bedroom home is located just a stones throw away from Middle Park State School, local shopping centres, public transport and much more! ",,https://www.realestate.com.au/property-house-qld-riverhills-413728751,"<span class=""rate""></span>",,[413728751],380,"Carport Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",8 Loddon Street,[1],Jacqui Price,Ray White - Middle Park
[1],[3],Fig Tree Pocket,Available Now,"Toilets:,1,Air Conditioning",Quiet & Convenient Location..,"$1,600",4069,$400 per week,"Beautifully located in a quiet tree lined street, there's everything to love about this property, Fig Tree Pocket has the rural country feel yet is less than 11km to the CBD and a quick 7 minute drive to the newly refurbished Indooroopilly Shoppingtown.",Pet Friendly,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424781914,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424781914],400,"Garage Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",41 Donatello Street,[1],Brandon Collinson,Ray White - Toowong
[1],[2],Oxley,Available Now,Air Conditioning,LOCATION! LOCATION! LOCATION! 2 BEDROOM APARTMENT IN OXLEY! PLUS ONE WEEKS FREE RENT!,"$1,760",4075,$440 PER WEEK PLUS ONE WEEKS FREE RENT!,"Impeccably finished and displaying an open and flowing contemporary layout, the immediately appealing interiors fuse high-quality fixtures with a bold streamlined aesthetic ensuring privacy, functionality and ease of living.",Pet Friendly,https://www.realestate.com.au/property-apartment-qld-oxley-424663614,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",[424663614],440,"Secure Parking,Garage Spaces:,1,Balcony",Apartment,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424663614&theme=rea.rent,"<span class=""price""></span>",104/61 Ellen Street,[2],"Mark Gay,Yvonne Airlie",Best Property 4 U - EIGHT MILE PLAINS
[1],[3],Seventeen Mile Rocks,Thu 04-Oct-18,"Intercom,Air Conditioning","LOVELY THREE BEDROOM TOWNHOUSE, ENSUITE, A/CON & POOL","$1,620",4073,From $395 to $420 per week,LOVELY TOWNHOUSE RENTAL PROPERTY ,,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-423975866,"<span class=""rate""></span>",,[423975866],"395,420","Garage Spaces:,1,Balcony,Swimming Pool - Inground",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",,[2],Maureen Cutforth,THEONSITEMANAGER - Hendra
[2],[3],Seventeen Mile Rocks,Fri 05-Oct-18,"Toilets:,1,Built-in Wardrobes,Air Conditioning",Family Home in Quiet Street,"$1,580",4073,$395 per week,"This high set home is in a peaceful, leafy location & is currently under going a mini make over. A coat of paint & new curtains will give this already wonderful home a fresh new look.",,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424574186,"<span class=""rate""></span>",Area Views,[424574186],395,"Carport Spaces:,1,Open Car Spaces:,1",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",25 Carlyle Street,[1],Katelyn Champney,SPACE Property Agents - SOUTH BRISBANE
[1],[3],Seventeen Mile Rocks,Available Now,"Toilets:,3",Secure and Private,"$1,540",4073,Application Approved,"In a leafy peaceful, complex totally secure from the outside you'll be pleased to call this place home.",,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-424205318,"<span class=""rate""></span>",,[424205318],,"Garage Spaces:,1",Townhouse,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",11/25 Hogan Place,[2],Rentals Indooroopilly,Ray White Indooroopilly - INDOOROOPILLY
[1],[2],Oxley,Available Now,"Ensuite:,1,Toilets:,2,Intercom,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Air Conditioning",Modern 2 Bedroom Apartment + Great Mystery Gift,"$1,760",4075,$440 per week + Great Mystery Gift,"This is a modern 2 bedroom, 2 bath near new apartment located in an extremely convenient location in Oxley. It features a large entertainer balcony which flows from the open plan lounge and kitchen areas, air conditioned bedrooms and lounge and comes complete with an ensuite and main bathroom. ",,https://www.realestate.com.au/property-apartment-qld-oxley-424671826,"<span class=""rate""></span>",,[424671826],440,"Remote Garage,Secure Parking,Carport Spaces:,1,Balcony,Outdoor Entertaining Area",Apartment,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",104/61 Ellen Street,[2],Royden Juriansz,Realty8 - UPPER MOUNT GRAVATT
[2],[4],Richlands,Available Now,"Toilets:,2,Air Conditioning",Your Brand New Home Awaits,"$1,900",4077,$475 per week,"Sienna Grove, Richlands situated approximately 15 kilometres from the Brisbane CBD, is recognised as a leafy, green suburb offering residents a high quality of life with strong linkages to major employment, education, retail and recreational attractions. ",,https://www.realestate.com.au/property-house-qld-richlands-424763510,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",[424763510],475,"Secure Parking,Garage Spaces:,2",House,"[datetime.date(2018, 9, 26)]",https://www.realestate.com.au/floorplan_new.ds?id=424763510&theme=rea.rent,"<span class=""price""></span>",104 Brentford Road,[2],Leasing Oxley,Tessa Residential New Farm - NEW FARM
[4],[4],Graceville,Thu 18-Oct-18,"Toilets:,1,Air Conditioning",FULLY FURNISHED – MODERN HOUSE- GREAT FOR STUDENTS !,"$1,800",4075,$450.00pw FULLY FURNISHED!,This newly renovated home is fully furnished with quality furniture throughout ready for you to move in! ,Furnished,https://www.realestate.com.au/property-house-qld-graceville-424745766,"<span class=""rate""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",[424745766],"450,00","Open Car Spaces:,4",House,"[datetime.date(2018, 9, 26)]",Not provided,"<span class=""price""></span>",192 Oxley Road,[1],Jerry Christo,Christo Real Estate  - Greenslopes
