bed,price_des,title,url,date_available,other_feature,median_rent,indoor_feature,car,outdoor_feature,bond,suburb,agent,agency,bathroom,property_type,allowance,description,price,floorplan,property_id,rental_yield,post_code,crawl_date,street_address
[3],$320 per week,COSY LITTLE GEM IN SEVENTEEN MILE ROCKS,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-418377798,Fri 05-Oct-18,"Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,1,Floorboards",[4],"Carport Spaces:,1,Garage Spaces:,1,Open Car Spaces:,2","$1,280",Seventeen Mile Rocks,Jacqui Price,Ray White - Middle Park,[1],House,Pet Friendly,This home is looking for a family to make it a home with some TLC. ,"$320,$320,",Not provided,[418377798],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",33 Carlyle St
[3],$380 per week,Comfortable Living - Ducted Air Conditioning throughout!,https://www.realestate.com.au/property-house-qld-riverhills-413728751,Fri 05-Oct-18,,"<span class=""price""></span>","Toilets:,1,Air Conditioning",[1],"Carport Spaces:,1","$1,520",Riverhills,Jacqui Price,Ray White - Middle Park,[1],House,,"This private three bedroom home is located just a stones throw away from Middle Park State School, local shopping centres, public transport and much more! ","$380,$380,",Not provided,[413728751],"<span class=""rate""></span>",4074,"[datetime.date(2018, 9, 26)]",8 Loddon Street
[3],$400 per week,Quiet & Convenient Location..,https://www.realestate.com.au/property-house-qld-fig+tree+pocket-424781914,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,1,Air Conditioning",[1],"Garage Spaces:,1","$1,600",Fig Tree Pocket,Brandon Collinson,Ray White - Toowong,[1],House,Pet Friendly,"Beautifully located in a quiet tree lined street, there's everything to love about this property, Fig Tree Pocket has the rural country feel yet is less than 11km to the CBD and a quick 7 minute drive to the newly refurbished Indooroopilly Shoppingtown.","$400,$400,",Not provided,[424781914],"<span class=""rate""></span>",4069,"[datetime.date(2018, 9, 26)]",41 Donatello Street
[2],$440 per week + Great Mystery Gift,Modern 2 Bedroom Apartment + Great Mystery Gift,https://www.realestate.com.au/property-apartment-qld-oxley-424671826,Available Now,,"<span class=""price""></span>","Ensuite:,1,Toilets:,2,Intercom,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Air Conditioning",[1],"Remote Garage,Secure Parking,Carport Spaces:,1,Balcony,Outdoor Entertaining Area","$1,760",Oxley,Royden Juriansz,Realty8 - UPPER MOUNT GRAVATT,[2],Apartment,,"This is a modern 2 bedroom, 2 bath near new apartment located in an extremely convenient location in Oxley. It features a large entertainer balcony which flows from the open plan lounge and kitchen areas, air conditioned bedrooms and lounge and comes complete with an ensuite and main bathroom. ","$440,$440,",Not provided,[424671826],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",104/61 Ellen Street
[2],$440 per week,TOTAL CONVENIENCE AND LUXURY,https://www.realestate.com.au/property-unit-qld-corinda-424779106,Wed 24-Oct-18,Ceiling Fans in bedrooms an living areas,"<span class=""price""></span>","Intercom,Built-in Wardrobes,Dishwasher,Reverse-cycle Air Conditioning,Air Conditioning",[1],"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony","$1,760",Corinda,"Rebecca Bezuidenhout,Anna Samios",Nobel Realtors - Corinda,[2],Unit,,"A great opportunity to rent this fabulous unit in the sought after building ""Olympia Plaza"" in a super location!  Sweeping views from every room with no expense spared,  this cosy 2 bedroom apartment is ideal for busy professionals or downsizers. ","$440,$440,",Not provided,[424779106],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",10/640 Oxley Road
[3],Application Approved,Secure and Private,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-424205318,Available Now,,"<span class=""price""></span>","Toilets:,3",[1],"Garage Spaces:,1","$1,540",Seventeen Mile Rocks,Rentals Indooroopilly,Ray White Indooroopilly - INDOOROOPILLY,[2],Townhouse,,"In a leafy peaceful, complex totally secure from the outside you'll be pleased to call this place home.",,Not provided,[424205318],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",11/25 Hogan Place
[2],$440 PER WEEK PLUS ONE WEEKS FREE RENT!,LOCATION! LOCATION! LOCATION! 2 BEDROOM APARTMENT IN OXLEY! PLUS ONE WEEKS FREE RENT!,https://www.realestate.com.au/property-apartment-qld-oxley-424663614,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport","<span class=""price""></span>",Air Conditioning,[1],"Secure Parking,Garage Spaces:,1,Balcony","$1,760",Oxley,"Mark Gay,Yvonne Airlie",Best Property 4 U - EIGHT MILE PLAINS,[2],Apartment,Pet Friendly,"Impeccably finished and displaying an open and flowing contemporary layout, the immediately appealing interiors fuse high-quality fixtures with a bold streamlined aesthetic ensuring privacy, functionality and ease of living.","$440,$440,",https://www.realestate.com.au/floorplan_new.ds?id=424663614&theme=rea.rent,[424663614],"<span class=""rate""></span>",4075,"[datetime.date(2018, 9, 26)]",104/61 Ellen Street
[4],$475 per week,Your Brand New Home Awaits,https://www.realestate.com.au/property-house-qld-richlands-424763510,Available Now,"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden","<span class=""price""></span>","Toilets:,2,Air Conditioning",[2],"Secure Parking,Garage Spaces:,2","$1,900",Richlands,Leasing Oxley,Tessa Residential New Farm - NEW FARM,[2],House,,"Sienna Grove, Richlands situated approximately 15 kilometres from the Brisbane CBD, is recognised as a leafy, green suburb offering residents a high quality of life with strong linkages to major employment, education, retail and recreational attractions. ","$475,$475,",https://www.realestate.com.au/floorplan_new.ds?id=424763510&theme=rea.rent,[424763510],"<span class=""rate""></span>",4077,"[datetime.date(2018, 9, 26)]",104 Brentford Road
[3],From $395 to $420 per week,"LOVELY THREE BEDROOM TOWNHOUSE, ENSUITE, A/CON & POOL",https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-423975866,Thu 04-Oct-18,,"<span class=""price""></span>","Intercom,Air Conditioning",[1],"Garage Spaces:,1,Balcony,Swimming Pool - Inground","$1,620",Seventeen Mile Rocks,Maureen Cutforth,THEONSITEMANAGER - Hendra,[2],Townhouse,,LOVELY TOWNHOUSE RENTAL PROPERTY ,"$395,$395,,$420,$420,",Not provided,[423975866],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",
[3],$490 per week,Quiet family area close to park,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-423570362,Tue 02-Oct-18,"Built-In Wardrobes, Close to Shops, Close to Transport, Garden, Formal Lounge","<span class=""price""></span>",Air Conditioning,[2],"Secure Parking,Garage Spaces:,2,Balcony","$1,960",Seventeen Mile Rocks,Jacqui Price,Ray White - Middle Park,[2],House,,"• 3 Bedrooms - all with built-ins, ceiling fans and security screens","$490,$490,",Not provided,[423570362],"<span class=""rate""></span>",4073,"[datetime.date(2018, 9, 26)]",2 Pampling Street
