title,price,url,indoor_feature,bed,description,car,median_rent,other_feature,post_code,property_type,property_id,bond,rental_yield,crawl_date,price_des,street_address,agency,bathroom,suburb,floorplan,agent,date_available,outdoor_feature
Quiet family area close to park,"$490,$490,",https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-423570362,Air Conditioning,[3],"• 3 Bedrooms - all with built-ins, ceiling fans and security screens",[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Shops, Close to Transport, Garden, Formal Lounge",4073,House,[423570362],"$1,960","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$490 per week,2 Pampling Street,Ray White - Middle Park,[2],Seventeen Mile Rocks,Not provided,Jacqui Price,Tue 02-Oct-18,"Secure Parking,Garage Spaces:,2,Balcony"
Family Home in Quiet Street,"$395,$395,",https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424574186,"Toilets:,1,Built-in Wardrobes,Air Conditioning",[3],"This high set home is in a peaceful, leafy location & is currently under going a mini make over. A coat of paint & new curtains will give this already wonderful home a fresh new look.",[2],"<span class=""price""></span>",Area Views,4073,House,[424574186],"$1,580","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$395 per week,25 Carlyle Street,SPACE Property Agents - SOUTH BRISBANE,[1],Seventeen Mile Rocks,Not provided,Katelyn Champney,Fri 05-Oct-18,"Carport Spaces:,1,Open Car Spaces:,1"
Ask About 1 Week Rent Free!,"$360,$360,",https://www.realestate.com.au/property-townhouse-qld-richlands-424646150,"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling",[3],"This townhouse is situated in walking distance to Richlands Shopping Centre, there are numerous schools nearby and parks and fields. This complex is very quite with no passing by traffic as it is situated at the end of the street.",[1],"<span class=""price""></span>",0,4077,Townhouse,[424646150],"$1,440","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$360 per week,48/54 Farinazzo Street,H & U Property Group - MARGATE,[2],Richlands,Not provided,Jack Byrnes,Available Now,"Remote Garage,Garage Spaces:,1,Outdoor Entertaining Area,Fully Fenced"
Secure and Private,,https://www.realestate.com.au/property-townhouse-qld-seventeen+mile+rocks-424205318,"Toilets:,3",[3],"In a leafy peaceful, complex totally secure from the outside you'll be pleased to call this place home.",[1],"<span class=""price""></span>",,4073,Townhouse,[424205318],"$1,540","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",Application Approved,11/25 Hogan Place,Ray White Indooroopilly - INDOOROOPILLY,[2],Seventeen Mile Rocks,Not provided,Rentals Indooroopilly,Available Now,"Garage Spaces:,1"
Welcome to Your Very Own Inner-City Resort,"$ 525,$ 525,",https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-424628274,"Ensuite:,1,Living Areas:,1,Toilets:,2,Built-in Wardrobes,Reverse-cycle Air Conditioning,Air Conditioning",[3],This beautiful Balinese inspired masterpiece is 5-star luxury. ,[1],"<span class=""price""></span>",,4073,House,[424628274],"$2,100","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$ 525 Per week,1 Skirmish Street,Place - Graceville,[2],Seventeen Mile Rocks,Not provided,"Jonathan Najarro,Jaclyn Lazarou",Mon 08-Oct-18,"Garage Spaces:,1"
"Pool, Air-conditioning, Pet-Friendly...Absolutely Perfect!","$375,$375,",https://www.realestate.com.au/property-townhouse-qld-oxley-424745930,"Ensuite:,1,Built-in Wardrobes,Dishwasher,Air Conditioning",[3],"Love Summer living in this immaculate townhouse located in the heart of Oxley - only minute walk to train station and local shopping hubs. Met with air-conditioning, inground complex swimming pool, ceiling fans and pet-friendly courtyard, this property is amazing value!",[1],"<span class=""price""></span>",Property Type: Townhouse Garaging / carparking: Single lock-up,4075,Townhouse,[424745930],"$1,500","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$375 p.w.,6/10 Chapman Place,Harcourts Marketplace - OXLEY,[2],Oxley,Not provided,Jess Kindt,Available Now,"Garage Spaces:,1,Fully Fenced"
COSY LITTLE GEM IN SEVENTEEN MILE ROCKS,"$320,$320,",https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-418377798,"Toilets:,1,Floorboards",[3],This home is looking for a family to make it a home with some TLC. ,[4],"<span class=""price""></span>","Close to Schools, Close to Shops, Close to Transport, Garden",4073,House,[418377798],"$1,280","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$320 per week,33 Carlyle St,Ray White - Middle Park,[1],Seventeen Mile Rocks,Not provided,Jacqui Price,Fri 05-Oct-18,"Carport Spaces:,1,Garage Spaces:,1,Open Car Spaces:,2"
Your Brand New Home Awaits,"$475,$475,",https://www.realestate.com.au/property-house-qld-richlands-424763510,"Toilets:,2,Air Conditioning",[4],"Sienna Grove, Richlands situated approximately 15 kilometres from the Brisbane CBD, is recognised as a leafy, green suburb offering residents a high quality of life with strong linkages to major employment, education, retail and recreational attractions. ",[2],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",4077,House,[424763510],"$1,900","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$475 per week,104 Brentford Road,Tessa Residential New Farm - NEW FARM,[2],Richlands,https://www.realestate.com.au/floorplan_new.ds?id=424763510&theme=rea.rent,Leasing Oxley,Available Now,"Secure Parking,Garage Spaces:,2"
LOCATION! LOCATION! LOCATION! 2 BEDROOM APARTMENT IN OXLEY! PLUS ONE WEEKS FREE RENT!,"$440,$440,",https://www.realestate.com.au/property-apartment-qld-oxley-424663614,Air Conditioning,[2],"Impeccably finished and displaying an open and flowing contemporary layout, the immediately appealing interiors fuse high-quality fixtures with a bold streamlined aesthetic ensuring privacy, functionality and ease of living.",[1],"<span class=""price""></span>","Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",4075,Apartment,[424663614],"$1,760","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$440 PER WEEK PLUS ONE WEEKS FREE RENT!,104/61 Ellen Street,Best Property 4 U - EIGHT MILE PLAINS,[2],Oxley,https://www.realestate.com.au/floorplan_new.ds?id=424663614&theme=rea.rent,"Mark Gay,Yvonne Airlie",Available Now,"Secure Parking,Garage Spaces:,1,Balcony"
Modern 2 Bedroom Apartment + Great Mystery Gift,"$440,$440,",https://www.realestate.com.au/property-apartment-qld-oxley-424671826,"Ensuite:,1,Toilets:,2,Intercom,Built-in Wardrobes,Dishwasher,Split-system Air Conditioning,Air Conditioning",[2],"This is a modern 2 bedroom, 2 bath near new apartment located in an extremely convenient location in Oxley. It features a large entertainer balcony which flows from the open plan lounge and kitchen areas, air conditioned bedrooms and lounge and comes complete with an ensuite and main bathroom. ",[1],"<span class=""price""></span>",,4075,Apartment,[424671826],"$1,760","<span class=""rate""></span>","[datetime.date(2018, 9, 26)]",$440 per week + Great Mystery Gift,104/61 Ellen Street,Realty8 - UPPER MOUNT GRAVATT,[2],Oxley,Not provided,Royden Juriansz,Available Now,"Remote Garage,Secure Parking,Carport Spaces:,1,Balcony,Outdoor Entertaining Area"
