other_feature,floorplan,url,outdoor_feature,rental_yield,street_address,allowance,post_code,property_id,description,property_type,title,bond,bed,car,crawl_date,agent,median_rent,date_available,bathroom,suburb,agency,indoor_feature
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-house-qld-graceville-424745766,"Open Car Spaces:,4","<span class=""rate""></span>",192 Oxley Road,Furnished,4075,"[424745766, 424745766]",This newly renovated home is fully furnished with quality furniture throughout ready for you to move in! ,House,FULLY FURNISHED – MODERN HOUSE- GREAT FOR STUDENTS !,"$1,800",4,4,"[datetime.date(2018, 9, 26)]",Jerry Christo,"<span class=""price""></span>",Thu 18-Oct-18,1,Graceville,Christo Real Estate  - Greenslopes,"Toilets:,1,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-jamboree+heights-421880154,"Secure Parking,Carport Spaces:,2","<span class=""rate""></span>",5 Port St,Pet Friendly,4074,"[421880154, 421880154]","Beautifully located in a quiet street, there's everything to love about this property! This house has a new kitchen, a fresh bathroom and new timber floors in all bedrooms.  Fresh paint and attention to all the little details makes this house stand out from the rest. ",House,Recently Renovated and Picture Perfect!!!,"$1,560",3,2,"[datetime.date(2018, 9, 26)]",Jacqui Price,"<span class=""price""></span>",Thu 11-Oct-18,1,Jamboree Heights,Ray White - Middle Park,"Toilets:,1,Floorboards,Air Conditioning"
"Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-house-qld-seventeen+mile+rocks-418377798,"Carport Spaces:,1,Garage Spaces:,1,Open Car Spaces:,2","<span class=""rate""></span>",33 Carlyle St,Pet Friendly,4073,"[418377798, 418377798]",This home is looking for a family to make it a home with some TLC. ,House,COSY LITTLE GEM IN SEVENTEEN MILE ROCKS,"$1,280",3,4,"[datetime.date(2018, 9, 26)]",Jacqui Price,"<span class=""price""></span>",Fri 05-Oct-18,1,Seventeen Mile Rocks,Ray White - Middle Park,"Toilets:,1,Floorboards"
0,Not provided,https://www.realestate.com.au/property-townhouse-qld-richlands-424646150,"Remote Garage,Garage Spaces:,1,Outdoor Entertaining Area,Fully Fenced","<span class=""rate""></span>",48/54 Farinazzo Street,Pet Friendly,4077,"[424646150, 424646150]","This townhouse is situated in walking distance to Richlands Shopping Centre, there are numerous schools nearby and parks and fields. This complex is very quite with no passing by traffic as it is situated at the end of the street.",Townhouse,Ask About 1 Week Rent Free!,"$1,440",3,1,"[datetime.date(2018, 9, 26)]",Jack Byrnes,"<span class=""price""></span>",Available Now,2,Richlands,H & U Property Group - MARGATE,"Ensuite:,1,Toilets:,3,Built-in Wardrobes,Pay TV Access,Dishwasher,Ducted Heating,Ducted Cooling"
Property Type: Townhouse Garaging / carparking: Single lock-up,Not provided,https://www.realestate.com.au/property-townhouse-qld-oxley-424745930,"Garage Spaces:,1,Fully Fenced","<span class=""rate""></span>",6/10 Chapman Place,Pet Friendly,4075,"[424745930, 424745930]","Love Summer living in this immaculate townhouse located in the heart of Oxley - only minute walk to train station and local shopping hubs. Met with air-conditioning, inground complex swimming pool, ceiling fans and pet-friendly courtyard, this property is amazing value!",Townhouse,"Pool, Air-conditioning, Pet-Friendly...Absolutely Perfect!","$1,500",3,1,"[datetime.date(2018, 9, 26)]",Jess Kindt,"<span class=""price""></span>",Available Now,2,Oxley,Harcourts Marketplace - OXLEY,"Ensuite:,1,Built-in Wardrobes,Dishwasher,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport, Garden",Not provided,https://www.realestate.com.au/property-townhouse-qld-riverhills-424753782,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",14/32 Tomkins Rd,,4074,"[424753782, 424753782]","Renovated 2 bedroom townhouse, located in a gated complex in Riverhills.",Townhouse,Modern Split levelled townhouse!,"$1,480",2,1,"[datetime.date(2018, 9, 26)]",Jacqui Price,"<span class=""price""></span>",Thu 18-Oct-18,2,Riverhills,Ray White - Middle Park,"Toilets:,2,Air Conditioning"
"Close to Schools, Close to Shops, Close to Transport",Not provided,https://www.realestate.com.au/property-house-qld-inala-424748198,"Open Car Spaces:,2","<span class=""rate""></span>",9 Aldebaran Street,Pet Friendly,4077,"[424748198, 424748198]",Welcome to 9 Aldebaran Street in Inala.,House,Newly Renovated Home with a Multi-Purpose Attachment,,3,2,"[datetime.date(2018, 9, 26)]","Daniel Gow,Ellen Tran","<span class=""price""></span>",Available Now,2,Inala,Calibre Real Estate  - Brisbane,"Living Areas:,2,Toilets:,2,Study,Built-in Wardrobes,Air Conditioning"
,Not provided,https://www.realestate.com.au/property-unit-qld-sherwood-424762458,"Garage Spaces:,1","<span class=""rate""></span>",5/535 Oxley Road,,4075,"[424762458, 424762458]",OPEN TO INSPECT SATURDAY 22ND SEPTEMBER 11:00AM - 12:00PM,Unit,BRAND NEW - GREAT LOCATION,"$2,460",2,1,"[datetime.date(2018, 9, 26)]",Ian Stevenson,"<span class=""price""></span>",Available Now,2,Sherwood,DJ Stringer Property Services - Coolangatta,"Toilets:,2"
Ceiling Fans in bedrooms an living areas,Not provided,https://www.realestate.com.au/property-unit-qld-corinda-424779106,"Remote Garage,Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",10/640 Oxley Road,,4075,"[424779106, 424779106]","A great opportunity to rent this fabulous unit in the sought after building ""Olympia Plaza"" in a super location!  Sweeping views from every room with no expense spared,  this cosy 2 bedroom apartment is ideal for busy professionals or downsizers. ",Unit,TOTAL CONVENIENCE AND LUXURY,"$1,760",2,1,"[datetime.date(2018, 9, 26)]","Rebecca Bezuidenhout,Anna Samios","<span class=""price""></span>",Wed 24-Oct-18,2,Corinda,Nobel Realtors - Corinda,"Intercom,Built-in Wardrobes,Dishwasher,Reverse-cycle Air Conditioning,Air Conditioning"
"Built-In Wardrobes, Close to Schools, Close to Shops, Close to Transport",https://www.realestate.com.au/floorplan_new.ds?id=424663614&theme=rea.rent,https://www.realestate.com.au/property-apartment-qld-oxley-424663614,"Secure Parking,Garage Spaces:,1,Balcony","<span class=""rate""></span>",104/61 Ellen Street,Pet Friendly,4075,"[424663614, 424663614]","Impeccably finished and displaying an open and flowing contemporary layout, the immediately appealing interiors fuse high-quality fixtures with a bold streamlined aesthetic ensuring privacy, functionality and ease of living.",Apartment,LOCATION! LOCATION! LOCATION! 2 BEDROOM APARTMENT IN OXLEY! PLUS ONE WEEKS FREE RENT!,"$1,760",2,1,"[datetime.date(2018, 9, 26)]","Mark Gay,Yvonne Airlie","<span class=""price""></span>",Available Now,2,Oxley,Best Property 4 U - EIGHT MILE PLAINS,Air Conditioning
