address,agency,agent,agreement_age,agreement_remaining,agreement_term,complex_fetures,description,income,last_update,letting,look_ups,manager_bathroom,manager_bed,manager_car,multiplier,office,office_hour,outside_agents,owner_occupy,pets,price,property_id,remuneration,title,total_unit,unit_feature,unit_price,url
"Newstead,",,"Paul Kiehne,Paul Kiehne","3 years,","22 years,","25 years,"," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. ",470000, 3 weeks ago.,119,0,0,0, 0,6.0,0," 0,
                        ",19,9,"Yes,",2820000, 3882576,187903,"Business Only - Established and Low Maintenance
              ",147," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3882576
"Auchenflower,", Resort Brokers,"Nathan Eades,Nathan Eades","0 years,","8 years,","25 years,"," Pool, BBQ, tennis court
                       ",Featuring 41 units with 13 in the letting pool with strong upside still possible. This complex offers a lavish and spacious office that would rival any onsite office in the country. An arsenal of caretaking equipment supplied by the body corporate gives any operator a walk up start in this riverfront complex.,108051, 2 months ago.,16,0,2,2, 0,3.9,0," NIL,
                        ",2,26,"no,",1171400, 3879650,71048,"Luxury Living with a 3.9x multiplier! | Resort Brokers ID : MR005304
              ",41," This luxurious managers unit is a ground floor two
bedroom and two bathroom unit with an open
plan executive kitchen. The entire unit flows from
bedrooms to the kitchen and features river & city
views. Ample car parking and storage exists
onsite for the manager.
                       ",750000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Auchenflower-QLD-3879650
"South Brisbane,", Resort Brokers,"Alex Cook,Alex Cook","0 years,","15 years,","25 years,"," Smart key access to the apartment block and to each
floor, rooftop swimming pool, rooftop gym and
rooftop BBQ area. Large indoor recreational area
with pool area, table tennis, TVâs and sofas, laundry
with sufficient coin operated commercial grade
washing machines and dryers.
                       ","Opportunity to purchase the management rights to a rare student focussed management rights business, located in an ideal location in Southbank close to education&cultural centres and CityCat/transport hubs.",416302, 1 month ago.,40,0,2,3, 0,5.1,1," Mon-Thu 9am - 4pm Fri&Sat 9am - 12pm,
                        ",7,14,"no,",2625000, 3881587,91172,"Student/Permanent MR in Southbank, Brisbane - $416k Nett | Resort Brokers ID : MR005349
              ",75," 3 bedroom,2 bathroom with lounge, kitchen area
and small balcony.
                       ",495000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3881587
"Hamilton,", Resort Brokers,"Gareth Closter,Gareth Closter","0 years,","22 years,","25 years,"," 
                       ",The offering of the Management Rights to Link at Portside represents an outstanding opportunity to secure a business with a high net income towards $600k p.a with no requirement to reside onsite or own a unit within the agreements. Going concern Management Rights of this scale in Brisbane are extremely rare and we recommend your serious consideration of this high quality offering.,536838, 2 months ago.,32,0,0,0, 0,5.2,0," No set office hours,
                        ",0,0,"no,",3400000, 3880774,37863,"Near City Boutique Offering with $530K+ Nett Income | Resort Brokers ID : MRB005327
              ",32," This is a rare opportunity to purchase a business of this scale with NO residential real estate involved in the transaction. The opportunity is however complemented by a 47m2 office in addition to the 7m2 office on occupation authority. The owner of the business could sub divide this area and lease a portion out or could establish a property management business and offer management services to investors who have units in the area.
                       ",600000,https://www.TheOnsiteManager.com.au/permanent-management-rights/Hamilton-QLD-3880774
"Browns Plains,", Joy Realty,"Robert Lin,Robert Lin","18 years,","18 years,","25 years,"," 
                       ","The Complex is located in Browns Plains, close to Schools, shops and public transport, it is also within Stretton college catchment area, very easy to find tenants. High salary make business fantastic. ",158000, 5 days ago.,51,0,3,4, 4,5.2,1," Specified in Contract,
                        ",0,14,"Yes,",1205000, 3874410,89000,"Management Rights
              ",65," 
                       ",380000,https://www.TheOnsiteManager.com.au/permanent-management-rights/BrownsPlains-QLD-3874410
"Upper Mount Gravatt,", Resort Brokers,"Jessica  Wilkie,Jessica  Wilkie","0 years,","13 years,","25 years,"," Pool
                       ",This opportunity is a great starter business for industry beginners or a perfect add on opportunity for a local operator. You will have a combination of lifestyle and flexibility here with no set hours and walking distance to all the wonderful facilitates that Mount Gravatt and Garden City have to offer!,37080, 1 month ago.,6,0,3,3, 1,2.5,0," none,
                        ",2,12,"yes,",551700, 3881664,27000,"Beginner Opportunity in Upper Mount Gravatt with 3 Bedroom Townhouse | Resort Brokers ID : MR005346
              ",20," 198sqm, 3 bedrooms, 2.5 bathrooms, master with 2 separate walk-in wardrobes and sitting room, master with own balcony, garage, modern kitchen, private outdoor courtyard,
                       ",459000,https://www.TheOnsiteManager.com.au/permanent-management-rights/UpperMountGravatt-QLD-3881664
"South Brisbane,", Next International Realty Pty Ltd,"David Jiang,David Jiang","12 years,","24 years,","25 years,"," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       ","- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! ",480037, 2 weeks ago.,78,0,2,3, 2,5.8,1," As per agreements,
                        ",2,37,"No,",3428000, 3883414,172676,"Big Income Permanent and Small Short Term Mix in Central South Brisbane
              ",117," 
                       ",640000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3883414
"Lutwyche,", Resort Brokers,"Jessica  Wilkie,Jessica  Wilkie","0 years,","24 years,","25 years,"," BBQ
                       ",Business Only Management Rights - There is no need to buy real-estate or live onsite and there are no set office hours. 23&24 year brand new agreements!,98080, 4 days ago.,31,0,0,0, 0,5.2,0," no set hours,
                        ",0,0,"yes,",510016, 3884008,50915,"19% ROI Business Only Managements Rights - 10 Mins From CBD | Resort Brokers ID : MRB005414
              ",49," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Lutwyche-QLD-3884008
"Newstead,", Resort Brokers,"Jessica  Wilkie,Jessica  Wilkie","0 years,","23 years,","25 years,"," rooftop entertainment area
                       ","Genuine Business-Only Management Rights in the heart of Newstead. There is  no need to buy real estate or live onsite and there are no set office hours.  Extremely low maintenance building with a rooftop entertainment area however there is no pool, gym or any mowing! The building consists of 48 stunning one and two bedroom apartments with 35 in the letting pool.",110617, 1 month ago.,48,0,0,0, 0,5.2,0," No,
                        ",7,6,"no,",575208, 3881065,51984,"Business Only In Newstead! Very Low Maintenance! Perfect Add On! | Resort Brokers ID : MRB005338
              ",35," 
                       ",0,https://www.TheOnsiteManager.com.au/permanent-management-rights/Newstead-QLD-3881065
"South Brisbane,", Shine Realty,"Celine Tseng,Celine Tseng","12 years,","24 years,","25 years,"," Swimming pool, Spa, BBQ, Gym, Theatre Room
                       ","Location! Location! Location!!,This building sits in the prime spot of South Brisbane, boasting less than a 5 minute walk to the nearby train station and high school, less than a 10 minute walk to South Bank, the Brisbane Convention Centre, QPAC, the Mater Hospital and the Lady Cilento Children's Hospital. The solid income's quality composition features: one third remuneration, one third permanent letting income and one third short term letting business. When it comes to business purchasing, location is its kingpin. There is great potential to grow this letting business, plus a 24 year long agreement and good relationship with Body Corp. Reasonable multiplier for only 5.3x. It won't last long on the market- call Celine today for further information or to book your inspection. ",480000, 3 weeks ago.,78,0,2,3, 2,5.8,0," Monday - Friday 10am - 2pm,
                        ",0,0,"Yes,",3428000, 3881704,172676,"Perfect Location & Big Income
              ",," 3 bedroom, 2 bath room, large courtyard,
                       ",640000,https://www.TheOnsiteManager.com.au/permanent-management-rights/SouthBrisbane-QLD-3881704
