manager_bed,agent,total_unit,office,price,manager_car,property_id,multiplier,description,complex_fetures,last_update,agreement_term,letting,remuneration,unit_price,agency,pets,unit_feature,look_ups,title,office_hour,income,manager_bathroom,address,owner_occupy,agreement_age,outside_agents,agreement_remaining
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Paul Kiehne,Paul Kiehne"," 147 ,
                        "," 0,
                      ",[2820000],0,3882576," 6.0 ,
                        ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. "," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "," Newstead,
                  "," 25 years,
                        "," 119 ,
                        ",[187903],[0],," Yes,
                      "," 
                       "," 0 ,
                        ","Business Only - Established and Low Maintenance
              "," 0,
                        ","$ 470,000 
                        (actual)",0, 3 weeks ago.," 9 ,
                        "," 3 years,
                        "," 19 ,
                        "," 22 years,
                        "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"David Jiang,David Jiang"," 117 ,
                        "," 1,
                      ",[3428000],2,3883414," 5.8 ,
                        ","- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate c"," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "," South Brisbane,
                  "," 25 years,
                        "," 78 ,
                        ",[172676],[640000],"%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd,%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd"," No,
                      "," 
                       "," 0 ,
                        ","Big Income Permanent and Small Short Term Mix in Central South Brisbane
              "," As per agreements,
                        ","$ 480,037 
                        (actual)",2, 1 week ago.," 37 ,
                        "," 12 years,
                        "," 2 ,
                        "," 24 years,
                        "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Brent Staker,Brent Staker"," 95 ,
                        "," 1,
                      ",[1985000],2,3878757," 5.2 ,
                        ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties"," Two pools, two BBQs
                       "," Bulimba,
                  "," 25 years,
                        "," 52 ,
                        ",[118131],[785000],"%2Fusers%2Flogo_754806%2F1.jpg Click here to view full profile for: Resort Brokers,%2Fusers%2Flogo_754806%2F1.jpg Click here to view full profile for: Resort Brokers"," yes,
                      "," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "," 0 ,
                        ","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              "," ,
                        ","$ 231,000 
                        (actual)",2, 6 days ago.," 44 ,
                        "," 0 years,
                        "," 11 ,
                        "," 20 years,
                        "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,"Joanne Piercy,Joanne Piercy"," 44 ,
                        "," 0,
                      ",[710000],0,3883221," 0.0 ,
                        ","Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. "," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "," Windsor,
                  "," 25 years,
                        "," 42 ,
                        ",[49600],[0],"%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights,%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights"," Yes,
                      "," No unit to buy and no requirement to live onsite.
                       "," 0 ,
                        ","Business Only Mangement Rights in Prime Location
              "," None,
                        ","$ 131,612 
                        (actual)",0, 2 weeks ago.," 1 ,
                        "," 2 years,
                        "," 1 ,
                        "," 23 years,
                        "
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Mark Fluhart,Mark Fluhart"," 31 ,
                        "," 1,
                      ",[970000],2,3859839," 4.4 ,
                        ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. "," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "," Spring Hill,
                  "," 25 years,
                        "," 22 ,
                        ",[52890],[490000],"%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights,%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights"," No,
                      "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "," 0 ,
                        ","LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              "," 0,
                        ","$ 108,884 
                        (actual)",2, 1 week ago.," 3 ,
                        "," 18 years,
                        "," 4 ,
                        "," 20 years,
                        "
