outside_agents,office,agreement_age,office_hour,manager_bathroom,unit_feature,price,unit_price,property_id,manager_car,agency,multiplier,complex_fetures,agreement_term,income,address,owner_occupy,agreement_remaining,remuneration,last_update,description,title,manager_bed,total_unit,look_ups,letting,agent,pets
" 19 ,
                        "," 0,
                      "," 3 years,
                        "," 0,
                        ",0," 
                       ",[2820000],[0], 3882576, 0,," 6.0 ,
                        "," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       "," 25 years,
                        ",[470000]," 
                  ,
                "," 9 ,
                        "," 22 years,
                        ",[187903],Last Update:,"RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. ","Business Only - Established and Low Maintenance
              ",0," 147 ,
                        "," 0 ,
                        "," 119 ,
                        ",," Yes,
                      "
" 0 ,
                        "," 1,
                      "," 0 years,
                        "," None,
                        ",2," 
                       ",[899000],[375000], 3878514, 2,"%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd,%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd"," 4.9 ,
                        "," 
                       "," 25 years,
                        ",[105077]," 
                  ,
                "," 0 ,
                        "," 23 years,
                        ",[45271],Last Update:,"Walk to Richlands Plaza and Woolworth in minutes, close to all the necessary amenities, dining, shopping, beauty&health and an easy stroll to Richlands Train Station,15min ride to Sunnybank Hills, 20 min to Garden City Westfield, 25 mins to South Bank Parklands,Complex very popular with renters, since ideal location and good rental,Body Corporate very good and supportive to work with,Very well run business, all procedures documented,Well presented complex and low caretaker workload,No requirement to reside onsite and no set office hours,Long agreement, still 23 years left on agreement,Good Remuneration $45,271 with annual adjustment of at least 3%,Spacious manager unit - three bedrooms, two bathrooms, one garage and attached on title office ,Simply, Neat and Tidy! Come and take a look we are sure you will be impressed!! ","Simple and Easy!
              ",3," TBC ,
                        "," 0 ,
                        "," TBC ,
                        ",," No,
                      "
" 2 ,
                        "," 1,
                      "," 12 years,
                        "," As per agreements,
                        ",2," 
                       ",[3428000],[640000], 3883414, 2,"%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd,%2Fusers%2Flogo_7566474%2F1.jpg Click here to view full profile for: Next International Realty Pty Ltd"," 5.8 ,
                        "," - 20 metre lap pool- heated spa- BBQ facilities- media room- gymnasium
                       "," 25 years,
                        ",[480037]," 
                  ,
                "," 37 ,
                        "," 24 years,
                        ",[172676],Last Update:,"- Perfectly located in the prestigious heart of South Brisbane, offering inner city and South Bank charm,Walking distance to South Bank Park and CBD in minutes,High quality building, the apartments have all the resort-style facilities that the corporate customer could demand, including a swimming pool, gymnasium, heated spa, media room, coin operated laundry and vending machines,Close to all the necessary amenities, only a short walk to Conference&Exhibition Centre, Museum, Gallery as well as all vibrant and distinctive award-winning dining, shopping, beauty, health&wellbeing precinct and an easy stroll to South Bank Park,- Well established and Very well run complex, all procedures documented,- Complex very popular with Guests and tenants, since so close to all the public transport this makes it ideal for the inner-city lifestyle for tenants ,- Long agreement 24 years left on a 25 years accommodation module,- Fantastic Body Corporate salary of $172,676, with annual CPI adjustment,- Body Corporate very good and supportive to work with,- Modern and spacious manager residence comprises three bedrooms, two bathrooms, lounge/dining room, kitchen, laundry, patio, a large backyard and two carparks on title,- Large reception, circular drop off bay at entrance and a large counter office with back of house allow the manager to deliver the highest level of service when checking guests in and out,- Located within the Brisbane State High School and West End State School catchment area,Come on in and reap the rewards that this fantastic offering has to offer. This is the Goldilocks complex, offering a great lifestyle and solid business. Just Right! ","Big Income Permanent and Small Short Term Mix in Central South Brisbane
              ",3," 117 ,
                        "," 0 ,
                        "," 78 ,
                        ",," No,
                      "
" 4 ,
                        "," 1,
                      "," 14 years,
                        "," No set office hours,
                        ",2," 
                       ",[1277500],[670000], 3882897, 2,"%2Fusers%2Flogo_755746%2F1.jpg Click here to view full profile for: Shine Realty,%2Fusers%2Flogo_755746%2F1.jpg Click here to view full profile for: Shine Realty"," 4.5 ,
                        "," Swimming Pool, Barbecue
                       "," 25 years,
                        ",[135000]," 
                  ,
                "," 17 ,
                        "," 21 years,
                        ",[68727],Last Update:,,"CULTURAL HOTSPOT AND HIGH RENTAL DEMAND
              ",3," 43 ,
                        "," 0 ,
                        "," 22 ,
                        ",," Yes,
                      "
" 4 ,
                        "," 1,
                      "," 18 years,
                        "," 0,
                        ",2," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       ",[970000],[490000], 3859839, 2,"%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights,%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights"," 4.4 ,
                        "," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       "," 25 years,
                        ",[108884]," 
                  ,
                "," 3 ,
                        "," 20 years,
                        ",[52890],Last Update:,"This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. ","LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              ",2," 31 ,
                        "," 0 ,
                        "," 22 ,
                        ",," No,
                      "
" 11 ,
                        "," 1,
                      "," 0 years,
                        "," ,
                        ",2," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       ",[1985000],[785000], 3878757, 2,"%2Fusers%2Flogo_754806%2F1.jpg Click here to view full profile for: Resort Brokers,%2Fusers%2Flogo_754806%2F1.jpg Click here to view full profile for: Resort Brokers"," 5.2 ,
                        "," Two pools, two BBQs
                       "," 25 years,
                        ",[231000]," 
                  ,
                "," 44 ,
                        "," 20 years,
                        ",[118131],Last Update:,"Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              ",3," 95 ,
                        "," 0 ,
                        "," 52 ,
                        ",," yes,
                      "
" 1 ,
                        "," 0,
                      "," 2 years,
                        "," None,
                        ",0," No unit to buy and no requirement to live onsite.
                       ",[710000],[0], 3883221, 0,"%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights,%2Fusers%2Flogo_756146%2F1.jpg Click here to view full profile for: Raine & Horne Onsite Rights"," 0.0 ,
                        "," Remote access to car park area.Intercom system. NBN ready. Storage areas for the managers use.
                       "," 25 years,
                        ",[131612]," 
                  ,
                "," 1 ,
                        "," 23 years,
                        ",[49600],Last Update:,"Just listed.,This extremely appealing complex that ticks all of the wish list boxes for a purchaser.,No Office hours.,No requirement to live on site.,Long term agreements.,Great tenant appeal due to the location and unit inclusions.,Easy to maintain grounds.,Well run business allowing for a smooth transition period at purchase.,Good committee relationship.,Maintenance done by a handyman.,P & L verified by an industry accountant.,Excellent standalone or add on business. ","Business Only Mangement Rights in Prime Location
              ",0," 44 ,
                        "," 0 ,
                        "," 42 ,
                        ",," Yes,
                      "
" 0 ,
                        "," 1,
                      "," 9 years,
                        "," NO,
                        ",2," - Spacious 4 bed, 2.5 bath, DLUGâ- Spacious Office On Title- Living in manager currently renting out 2 rooms for \\\\\\\\\\\$15,000 per year- Perfect for a family to live in
                       ",Contact the Sire team,[650000], 3881971, 0,"%2Fusers%2Flogo_756028%2F1.jpg Click here to view full profile for: SIRE Management Rights,%2Fusers%2Flogo_756028%2F1.jpg Click here to view full profile for: SIRE Management Rights"," 5.5 ,
                        "," 
                       "," 25 years,
                        ",[243086]," 
                  ,
                "," 0 ,
                        "," 21 years,
                        ",[104046],Last Update:,"Managers  Residence:,- Spacious 4 bed, 2.5 bath, DLUG- Spacious Office On Title,- Living in manager currently renting out 2 rooms for $15,000 per year,- Perfect for a family to live in,Features:,- Highly stable business with secured letting pool,- Rent has been steady increase for the last 3 years,- 21 Years agreement remaining,- Perfect size to get into the industry,- Very minimal caretaking duties, one day in winter per week, 2 days in summer per week,- Highly sought after by investors,- Prime location,- Close to hospitals,- Close to prime commercial hub location,- 1 min walking distance to bus stop to the city,- Lots of parking for visitors and the manager,- Can be run by one person less than 20 hours a  week,- One and the only in southern brisbane,- Easy going committee and body corporate,-Serious seller!Take advantage of this perfect opportunity, contact The SIRE Team for an inspection NOW! ","Great Lifestyle Business
              ",4," TBC ,
                        "," 0 ,
                        "," TBC ,
                        ",," No,
                      "
price,office_hour,total_unit,agreement_term,title,income,outside_agents,manager_bed,property_id,unit_price,address,manager_car,complex_fetures,description,unit_feature,letting,multiplier,look_ups,agency,pets,agent,remuneration,owner_occupy,office,agreement_remaining,agreement_age,last_update,manager_bathroom
[2820000]," 0,
                        "," 147 ,
                        "," 25 years,
                        ","Business Only - Established and Low Maintenance
              ",[470000]," 19 ,
                        ",0, 3882576,[0]," 
                  ,
                ", 0," Business-only with high nett returns, 	NO Managers Unit to purchase, 	No set office hours , 	Secure  22 year agreement remaining,	Majority investors and long term tenants,	Gigafy Fibre optic internet infrastructure included,	Easy to manage facilities with only 1 rooftop BBQ area ,	No pool, gym or lawns to maintain.
                       ","RARE FIND !  Established Management Rights in a permanent let business, with no managers unit and high occupancy.,Located only metres from busy Gasworks shopping precinct in the sought after hub of Newstead  within easy walking distance to the river walkways, ferry and bus terminals. ,Purpose built to provide a point of difference to all other buildings in Newstead with large, well designed apartments without the added expense of  non-essential features such as pools, gyms or yoga lawns.  ,Tenants are attracted to the liveability of these boutique apartments with the sensible floor plans, gourmet kitchens and huge balconies. ,Management Rights features:,- Business-only with high nett returns ,- NO Managers Unit to purchase,- No set office hours ,- Secure  22 year agreement remaining ,- Majority investors and long term tenants with 99 percent Occupancy year round,- Gigafy Fibre optic internet infrastructure included,- Easy to manage facilities with only 1 rooftop BBQ area,- No pool, gym or lawns to maintain.,There is an OPTION to Lease or Purchase the  fully fitted 66 square metre Commercial Lot to use as an Office instead of the Managers allocated office ( (OA) if preferred.   Contact Paul for more details. "," 
                       "," 119 ,
                        "," 6.0 ,
                        "," 0 ,
                        ",," Yes,
                      ","Paul Kiehne,Paul Kiehne",[187903]," 9 ,
                        "," 0,
                      "," 22 years,
                        "," 3 years,
                        ",Last Update:,0
[970000]," 0,
                        "," 31 ,
                        "," 25 years,
                        ","LIVE OFF-SITE WITH THE RIGHT ADDRESS Spring Hill Management Rights
              ",[108884]," 4 ,
                        ",2, 3859839,[490000]," 
                  ,
                ", 2," This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests.
                       ","This boutique complex of 31 apartments is within walking distance to the CBD and within the school catchment for Kelvin Grove State College or walking distance to Brisbane Grammar and Brisbane Girls Grammar. The complex is easily managed by one person part time, leaving plenty of time to relax and enjoy the many benefits of inner city living and an easy lifestyle. However, the agreement allows the manager to live off-site thus it is also an ideal opportunity for those wanting to pursue other business interests. The ground floor managers apartment offers an air conditioned open plan living/kitchen area with a delightful private garden courtyard well suited to entertaining.,The business is a well-run business with mostly all maintenance being carried out by service contractors. ,Located in Spring Hill only 5 minutes walking distance to City Hall, yet quiet and private. This complex is much sought after for accommodation by city workers. Each unit has a secure under cover car park which is highly desirable in the inner city.   The complex is an L shape with two street frontage and a central low maintenance tropical garden area where the recreation facilities are located, which includes the swimming pool, BBQ, outdoor dining and gymnasium.,With very manageable grounds and common areas, the managers body corporate duties are kept to a minimum. "," The ground floor managerâs apartment offers an air conditioned open plan living/ kitchen area with a delightful private garden courtyard well suited to entertaining. This attractively presented apartment is fully tiled and has been recently refurbished including an updated kitchen, fresh paintwork throughout and new window furnishings. The two bedrooms are at the rear of the apartment and both have double glass doors opening on to another spacious paved courtyard.
                       "," 22 ,
                        "," 4.4 ,
                        "," 0 ,
                        ",," No,
                      ","Mark Fluhart,Mark Fluhart",[52890]," 3 ,
                        "," 1,
                      "," 20 years,
                        "," 18 years,
                        ",Last Update:,2
[1985000]," ,
                        "," 95 ,
                        "," 25 years,
                        ","Blue Chip Bulimba Management Rights Netting 231K | Resort Brokers ID : MR005278
              ",[231000]," 11 ,
                        ",3, 3878757,[785000]," 
                  ,
                ", 2," Two pools, two BBQs
                       ","Resort Brokers Australia is excited to offer to the market Park and River Reach. These two management rights complexes are located next door to each other with the ability to live on or off-site in the suburb of Bulimba. This is one of Brisbanes most desirable riverside locations. The growth in this area has increased significantly in the past ten years. This business suits first time and experienced operators.,• Absolutely amazing location in one Brisbane’s most desirable suburbs,• Great opportunity for further growth,• Experienced operators to assist with the transition of new purchaser,• Stunning manager’s residence,• No requirement to reside onsite,• A quality mix of one, two and three bedroom apartments,• Strong agreements/strong sinking fund amounts,• Additional outside rent roll of 12,• Simple and easy caretaking duties"," Ground floor, spacious lounge room, large dinning space, modern kitchen, outside desk that is undercover, walk up street access with a locked gate, parkland views, own garden courtyard, built-in wardrobes, undercover carparks, secure lift access from basement area.
                       "," 52 ,
                        "," 5.2 ,
                        "," 0 ,
                        ",," yes,
                      ","Brent Staker,Brent Staker",[118131]," 44 ,
                        "," 1,
                      "," 20 years,
                        "," 0 years,
                        ",Last Update:,2
